Site,treat,Block,plot_id,Burrows_msq_2014,Burrows_msq_2015,Burrows_change,crab_density_msq,crab_per_trap,sed_accrete_g,BulkDens_kg_msq,BGMass_kg_msq,AGMass_kg_msq,BulkDens_g_core,BGMass_g_core,AGMass_g_core,AG_Consum_Crab,AG_Consum_NoCrab,BG_Consum_Crab,BG_Consum_NoCrab
O,otter,5,O5,32,48,16,2,0.5,31.26,133.29,2.08,0.98,1046.3,16.35,7.709999999,na,na,na,na
D,otter_transect,1,na,na,8,na,na,0,na,125.12,4.02,1.97,982.2,31.53,15.48,na,na,na,na
D,otter_transect,2,na,na,26,na,na,na,na,111.53,4.56,1.91,875.5,35.78,15,na,na,na,na
D,otter_transect,3,na,na,6,na,na,0,na,136.61,5,1.82,1072.4,39.22,14.29,na,na,na,na
D,otter_transect,4,na,na,2,na,na,na,na,121.07,4.61,2.12,950.4,36.18,16.66,na,na,na,na
D,otter_transect,5,na,na,28,na,na,0,na,122.5,1.52,1.04,961.6,11.93,8.17,na,na,na,na
D,otter_transect,6,na,na,26,na,na,na,na,144.25,1.52,1.15,1132.4,11.93,9.06,na,na,na,na
D,otter_transect,7,na,na,12,na,na,0,na,140.62,4.37,1.46,1103.9,34.32,11.43,na,na,na,na
D,otter_transect,8,na,na,38,na,na,na,na,147.69,2.67,0.99,1159.4,20.97,7.81,na,na,na,na
D,otter_transect,9,na,na,18,na,na,0,na,132.51,1.11,1.58,1040.2,8.72,12.44,na,na,na,na
D,otter_transect,10,na,na,30,na,na,na,na,126.97,1.72,1.09,996.7,13.48,8.54,na,na,na,na
D,otter_transect,11,na,na,32,na,na,na,na,na,na,na,na,na,na,na,na,na,na
E,otter_transect,1,na,na,12,na,na,0,na,124.51,na,na,977.4,na,na,na,na,na,na
E,otter_transect,2,na,na,12,na,na,na,na,14.36,na,na,112.7,na,na,na,na,na,na
E,otter_transect,3,na,na,48,na,na,0,na,na,0.67,0.78,na,5.25,6.15,na,na,na,na
E,otter_transect,4,na,na,2,na,na,na,na,na,4.7,1.48,na,36.86,11.59,na,na,na,na
E,otter_transect,5,na,na,10,na,na,0,na,126.87,na,na,995.9,na,na,na,na,na,na
E,otter_transect,6,na,na,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
E,otter_transect,7,na,na,66,na,na,0,na,134.62,3.76,1.97,1056.8,29.5,15.5,na,na,na,na
E,otter_transect,8,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na
E,otter_transect,9,na,na,12,na,na,0,na,140.69,2.34,1.78,1104.4,18.38,13.96,na,na,na,na
E,otter_transect,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
E,otter_transect,11,na,na,2,na,,na,na,131.78,2.34,1.7,1034.5,18.35,13.37,na,na,na,na
J,otter_transect,1,na,na,6,na,na,0,na,na,2.75,1.71,na,21.57,13.46,na,na,na,na
J,otter_transect,2,na,na,38,na,na,na,na,131.4,1.98,1.83,1031.5,15.55,14.38,na,na,na,na
J,otter_transect,3,na,na,0,na,na,0,na,na,na,na,na,na,na,na,na,na,na
J,otter_transect,4,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na
J,otter_transect,5,na,na,4,na,na,0,na,135.68,6.44,0.98,1065.1,50.58,7.7,na,na,na,na
J,otter_transect,6,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na
J,otter_transect,7,na,na,12,na,na,0,na,na,na,na,na,na,na,na,na,na,na
J,otter_transect,8,na,na,0,na,na,na,na,158.17,2.51,1.38,1241.6,19.7,10.8,na,na,na,na
J,otter_transect,9,na,na,2,na,na,1,na,131.82,1.66,1.95,1034.8,13.01,15.29,na,na,na,na
J,otter_transect,10,na,na,76,na,na,na,na,na,na,na,na,na,na,na,na,na,na
N,otter_transect,1,na,na,14,na,na,0,na,na,na,na,na,na,na,na,na,na,na
